OBJECTID;DEM_RÍO_MAGDALENA_tif;X;Y;DEM_RÍO_MAGDALENA_Band_1
508;35;-73,772916666666561;8,227083333333251;35,0000000
509;35;-73,777083333333223;8,218749999999918;35,0000000
510;34;-73,777083333333223;8,214583333333252;34,0000000
511;36;-73,777083333333223;8,210416666666585;36,0000000
512;39;-73,781249999999886;8,206249999999919;39,0000000
513;37;-73,777083333333223;8,206249999999919;37,0000000
514;40;-73,781249999999886;8,202083333333253;40,0000000
515;40;-73,781249999999886;8,197916666666584;40,0000000
516;34;-73,772916666666561;8,197916666666584;34,0000000
517;34;-73,781249999999886;8,193749999999918;34,0000000
518;34;-73,777083333333223;8,193749999999918;34,0000000
519;34;-73,772916666666561;8,193749999999918;34,0000000
520;36;-73,781249999999886;8,189583333333252;36,0000000
521;32;-73,777083333333223;8,189583333333252;32,0000000
522;35;-73,772916666666561;8,189583333333252;35,0000000
523;33;-73,777083333333223;8,185416666666585;33,0000000
524;35;-73,772916666666561;8,185416666666585;35,0000000
525;36;-73,777083333333223;8,181249999999919;36,0000000
526;35;-73,772916666666561;8,181249999999919;35,0000000
527;34;-73,772916666666561;8,177083333333252;34,0000000
528;35;-73,772916666666561;8,172916666666584;35,0000000
529;36;-73,772916666666561;8,168749999999918;36,0000000
530;36;-73,772916666666561;8,160416666666585;36,0000000
531;35;-73,768749999999883;8,160416666666585;35,0000000
532;36;-73,772916666666561;8,156249999999918;36,0000000
533;35;-73,768749999999883;8,156249999999918;35,0000000
534;35;-73,772916666666561;8,152083333333252;35,0000000
535;34;-73,772916666666561;8,147916666666585;34,0000000
536;35;-73,777083333333223;8,143749999999919;35,0000000
537;38;-73,802083333333229;8,135416666666584;38,0000000
538;35;-73,797916666666552;8,135416666666584;35,0000000
539;35;-73,789583333333226;8,135416666666584;35,0000000
540;34;-73,785416666666549;8,135416666666584;34,0000000
541;37;-73,777083333333223;8,135416666666584;37,0000000
542;35;-73,806249999999892;8,131249999999918;35,0000000
543;36;-73,802083333333229;8,131249999999918;36,0000000
544;40;-73,797916666666552;8,131249999999918;40,0000000
545;37;-73,785416666666549;8,131249999999918;37,0000000
546;36;-73,781249999999886;8,131249999999918;36,0000000
547;37;-73,777083333333223;8,131249999999918;37,0000000
548;39;-73,810416666666555;8,127083333333252;39,0000000
549;42;-73,814583333333218;8,122916666666585;42,0000000
550;36;-73,814583333333218;8,118749999999919;36,0000000
551;40;-73,806249999999892;8,118749999999919;40,0000000
552;37;-73,818749999999895;8,114583333333250;37,0000000
553;35;-73,814583333333218;8,114583333333250;35,0000000
554;40;-73,810416666666555;8,114583333333250;40,0000000
555;35;-73,818749999999895;8,110416666666584;35,0000000
556;37;-73,827083333333221;8,106249999999918;37,0000000
557;36;-73,822916666666558;8,106249999999918;36,0000000
558;36;-73,831249999999883;8,102083333333251;36,0000000
559;38;-73,827083333333221;8,102083333333251;38,0000000
560;38;-73,835416666666561;8,097916666666585;38,0000000
561;39;-73,843749999999886;8,093749999999918;39,0000000
562;39;-73,839583333333223;8,093749999999918;39,0000000
563;46;-73,864583333333229;8,089583333333252;46,0000000
564;44;-73,860416666666552;8,089583333333252;44,0000000
565;45;-73,856249999999889;8,089583333333252;45,0000000
566;44;-73,852083333333226;8,089583333333252;44,0000000
567;39;-73,847916666666563;8,089583333333252;39,0000000
568;39;-73,843749999999886;8,089583333333252;39,0000000
569;43;-73,864583333333229;8,085416666666585;43,0000000
570;41;-73,856249999999889;8,085416666666585;41,0000000
571;39;-73,852083333333226;8,085416666666585;39,0000000
572;42;-73,864583333333229;8,081249999999917;42,0000000
573;42;-73,847916666666563;8,081249999999917;42,0000000
574;40;-73,864583333333229;8,077083333333251;40,0000000
575;41;-73,868749999999892;8,072916666666584;41,0000000
576;38;-73,864583333333229;8,072916666666584;38,0000000
577;39;-73,864583333333229;8,068749999999918;39,0000000
578;37;-73,868749999999892;8,064583333333252;37,0000000
579;38;-73,868749999999892;8,060416666666585;38,0000000
580;41;-73,864583333333229;8,060416666666585;41,0000000
581;38;-73,868749999999892;8,056249999999917;38,0000000
582;39;-73,864583333333229;8,056249999999917;39,0000000
583;37;-73,868749999999892;8,052083333333250;37,0000000
584;37;-73,864583333333229;8,052083333333250;37,0000000
585;37;-73,868749999999892;8,047916666666584;37,0000000
586;39;-73,864583333333229;8,047916666666584;39,0000000
587;38;-73,868749999999892;8,043749999999918;38,0000000
588;40;-73,868749999999892;8,039583333333251;40,0000000
589;42;-73,868749999999892;8,035416666666585;42,0000000
590;45;-73,864583333333229;8,035416666666585;45,0000000
591;41;-73,868749999999892;8,031249999999918;41,0000000
592;44;-73,872916666666555;8,027083333333252;44,0000000
593;44;-73,864583333333229;8,027083333333252;44,0000000
594;45;-73,872916666666555;8,022916666666584;45,0000000
595;40;-73,868749999999892;8,022916666666584;40,0000000
596;45;-73,860416666666552;8,022916666666584;45,0000000
597;46;-73,872916666666555;8,018749999999917;46,0000000
598;41;-73,868749999999892;8,018749999999917;41,0000000
599;42;-73,864583333333229;8,018749999999917;42,0000000
600;45;-73,872916666666555;8,014583333333251;45,0000000
601;44;-73,868749999999892;8,014583333333251;44,0000000
602;42;-73,864583333333229;8,014583333333251;42,0000000
603;45;-73,860416666666552;8,014583333333251;45,0000000
604;46;-73,872916666666555;8,010416666666584;46,0000000
605;46;-73,860416666666552;8,010416666666584;46,0000000
606;44;-73,864583333333229;8,006249999999918;44,0000000
607;46;-73,860416666666552;8,006249999999918;46,0000000
608;44;-73,864583333333229;8,002083333333252;44,0000000
609;47;-73,860416666666552;8,002083333333252;47,0000000
610;43;-73,868749999999892;7,997916666666584;43,0000000
611;44;-73,868749999999892;7,993749999999918;44,0000000
612;45;-73,868749999999892;7,989583333333250;45,0000000
613;45;-73,868749999999892;7,985416666666584;45,0000000
614;45;-73,864583333333229;7,981249999999918;45,0000000
615;46;-73,872916666666555;7,977083333333251;46,0000000
616;45;-73,860416666666552;7,977083333333251;45,0000000
617;49;-73,868749999999892;7,972916666666584;49,0000000
618;46;-73,864583333333229;7,972916666666584;46,0000000
619;46;-73,856249999999889;7,972916666666584;46,0000000
620;46;-73,852083333333226;7,972916666666584;46,0000000
621;48;-73,864583333333229;7,968749999999917;48,0000000
622;45;-73,856249999999889;7,968749999999917;45,0000000
623;45;-73,852083333333226;7,968749999999917;45,0000000
624;45;-73,856249999999889;7,964583333333251;45,0000000
625;45;-73,852083333333226;7,964583333333251;45,0000000
626;44;-73,852083333333226;7,960416666666584;44,0000000
627;45;-73,847916666666563;7,960416666666584;45,0000000
628;45;-73,860416666666552;7,956249999999917;45,0000000
